id,Country,Year,Month,FoodPriceIndex
3501,Mexico,1971,11,0.0
60601,South Africa,2002,7,43.9
64399,Japan,2004,8,89.8
24227,France,1983,1,48.9
63779,Japan,2004,4,90.2
76749,Canada,2011,4,90.0
14761,Germany,1977,12,52.4859
81090,Switzerland,2013,8,100.3
36975,Luxembourg,1989,11,58.3
19646,Portugal,1980,7,12.6
15042,Austria,1978,2,43.5
54287,Denmark,1999,3,71.4
66486,United States,2005,9,78.3
24856,Greece,1983,5,11.1
56491,Italy,2000,5,
44016,South Africa,1993,8,20.4
5964,Japan,1973,3,39.0
67315,Finland,2006,3,79.2
48261,Greece,1995,12,60.8
38514,Japan,1990,9,88.2
24690,Finland,1983,4,55.4
64349,Canada,2004,8,73.4
27431,South Africa,1984,9,5.2
16331,Greece,1978,10,3.8
28450,Luxembourg,1985,4,53.6
19412,Denmark,1980,6,37.2
8102,Spain,1974,5,8.1
75570,Luxembourg,2010,8,91.1
24171,United States,1982,12,40.2
52995,Turkey,1998,6,5.5
61887,Spain,2003,4,75.9
16382,Netherlands,1978,10,57.1
665,Finland,1970,5,13.6
30341,Portugal,1986,4,40.2
17849,Canada,1979,8,33.4
29441,United States,1985,10,42.7
71336,Germany,2008,5,89.5046
18017,Denmark,1979,9,34.6
79741,Italy,2012,11,97.3
47500,Israel,1995,7,
35364,Canada,1989,1,55.4
306,South Africa,1970,2,1.0
14619,United Kingdom,1977,11,24.5
51911,"Taiwan, China",1997,11,59.61
14101,South Africa,1977,7,2.0
23551,United States,1982,8,40.6
42167,Austria,1992,9,66.6
81554,Canada,2013,11,
71046,Greece,2008,3,93.8
13677,Denmark,1977,5,29.1
44831,Germany,1994,2,73.7254
64361,Germany,2004,8,78.896
28900,Israel,1985,7,12.8
69166,Germany,2007,3,82.4619
47736,South Africa,1995,8,25.0
52259,Canada,1998,2,64.3
6115,Israel,1973,4,0.0
65572,Austria,2005,4,77.3
21259,Canada,1981,6,41.4
5720,Turkey,1973,1,0.0
62489,Canada,2003,8,71.5
31132,Sweden,1986,9,63.5
29196,Greece,1985,9,15.7
19262,Spain,1980,5,19.6
39842,Austria,1991,6,63.6
54396,United States,1999,3,67.3
18375,Luxembourg,1979,11,36.6
16014,United Kingdom,1978,8,26.1
39331,Portugal,1991,2,62.5
72740,Finland,2009,2,92.0
47366,Mexico,1995,6,18.7
18674,Japan,1980,1,72.0
36881,United States,1989,10,51.6
58947,France,2001,9,82.4
41237,Austria,1992,3,64.7
77616,Portugal,2011,9,95.8
73076,Italy,2009,4,91.9
38586,United States,1990,9,54.7
3924,United Kingdom,1972,2,9.6
54292,Spain,1999,3,65.3
76485,Israel,2011,2,96.8
15392,France,1978,4,29.7
37689,Canada,1990,4,58.0
39665,Turkey,1991,4,0.1
80126,United States,2013,1,96.2
456,United States,1970,3,16.4
75211,Germany,2010,6,89.0588
35331,United States,1988,12,49.0
58102,Sweden,2001,3,77.6
52962,Netherlands,1998,6,78.6
54235,Turkey,1999,2,7.5
76305,Finland,2011,1,90.0
66480,Turkey,2005,9,37.6
35532,Denmark,1989,2,60.2
51755,Turkey,1997,10,3.8
7121,United States,1973,10,21.5
30155,Luxembourg,1986,3,55.2
67782,France,2006,6,88.5
47426,South Africa,1995,6,25.5
58350,Israel,2001,5,68.8
13379,United Kingdom,1977,3,23.4
32264,Canada,1987,5,
26705,Finland,1984,5,59.2
47227,Netherlands,1995,5,76.3
57596,Mexico,2000,12,46.0
42041,Germany,1992,8,72.299
80862,Netherlands,2013,6,100.2
31074,Japan,1986,9,82.3
19925,Luxembourg,1980,9,37.9
30526,United States,1986,5,43.7
50865,Switzerland,1997,5,93.3
73507,Denmark,2009,7,91.7
56552,Sweden,2000,5,77.1
16789,United Kingdom,1979,1,27.5
48250,Finland,1995,12,67.5
67092,Sweden,2006,1,80.4
13555,Israel,1977,4,0.0
59594,Japan,2002,1,90.2
55227,France,1999,9,75.2
60302,Austria,2002,6,
27040,Israel,1984,7,2.2
13090,Israel,1977,1,0.0
66232,France,2005,8,85.8
26637,Sweden,1984,4,54.0
29650,Finland,1985,12,64.2
42926,United States,1993,1,57.3
19422,France,1980,6,35.9
48002,Netherlands,1995,10,74.7
20019,Canada,1980,10,38.3
70252,Denmark,2007,10,86.2
752,Sweden,1970,5,13.5
57424,Japan,2000,11,91.2
40441,"Taiwan, China",1991,9,48.2
69137,Austria,2007,3,80.3
12540,Turkey,1976,9,0.0
19181,Portugal,1980,4,12.5
39687,Austria,1991,5,63.0
1277,Denmark,1970,9,14.8
37856,Germany,1990,5,69.6967
16630,Finland,1978,12,34.9
30117,France,1986,3,59.9
63380,Turkey,2004,1,35.8
48312,Netherlands,1995,12,75.3
34610,Finland,1988,8,68.9
68191,United States,2006,8,79.6
73716,Mexico,2009,8,75.4
30667,Sweden,1986,6,63.5
69126,South Africa,2007,2,54.1
63156,Italy,2003,12,81.5
48557,Spain,1996,2,
26386,Germany,1984,3,65.3584
46855,Finland,1995,3,70.9
12981,Portugal,1976,12,6.0
75665,Switzerland,2010,9,102.9
48811,"Taiwan, China",1996,3,59.69
16951,Greece,1979,2,4.4
52272,Denmark,1998,2,71.2
916,"Taiwan, China",1970,6,12.55
25071,Portugal,1983,6,22.8
45471,Greece,1994,6,53.7
61781,Mexico,2003,3,50.7
27770,Switzerland,1984,12,77.9
59682,Austria,2002,2,73.4
22281,Portugal,1981,12,16.9
72585,Finland,2009,1,91.4
18791,Germany,1980,2,55.544
21129,United Kingdom,1981,5,35.8
45129,Canada,1994,4,60.1
4847,Spain,1972,8,6.5
45615,Finland,1994,7,76.8
76251,United States,2010,12,89.5
79157,Netherlands,2012,7,97.1
53931,United States,1998,12,67.0
68291,Mexico,2006,9,61.3
62352,Spain,2003,7,76.7
29337,Spain,1985,10,36.7
17881,Greece,1979,8,4.4
13211,Germany,1977,2,51.7747
15496,South Africa,1978,4,2.2
13069,United Kingdom,1977,1,22.9
31627,Austria,1987,1,58.4
25511,Mexico,1983,9,0.3
27974,Japan,1985,1,82.3
20502,Spain,1981,1,22.2
